K,fold,baseline_SR,fuzzy_a5_SR,fuzzy_a5_delta,fuzzy_a10_SR,fuzzy_a10_delta,fuzzy_a20_SR,fuzzy_a20_delta,fuzzy_a50_SR,fuzzy_a50_delta,fuzzy_a100_SR,fuzzy_a100_delta,fuzzy_a50_dt0001_SR,fuzzy_a50_dt0001_delta
45,train,0.9189431422785396,0.3060451551300604,-0.6128979871484792,0.6559357502538344,-0.26300739202470513,0.7895772319537402,-0.12936591032479938,0.8661801354058316,-0.05276300687270796,0.9153928418097818,-0.0035503004687578166,0.8657665037995464,-0.05317663847899312
46,train,0.8842643817311726,0.3074824420125653,-0.5767819397186074,0.6570374529312591,-0.22722692879991346,0.792097678186096,-0.09216670354507661,0.8686084817683708,-0.01565589996280181,0.9161553382527436,0.031890956521571034,0.8667877208878132,-0.017476660843359415
47,train,0.8910212029273441,0.3074863819537647,-0.5835348209735793,0.6486377093579156,-0.24238349356942845,0.7926031936994418,-0.09841800922790234,0.8802671895590727,-0.01075401336827142,0.9180529628423536,0.0270317599150095,0.8808436763986057,-0.010177526528738379
48,train,0.8914419029913123,0.308225041036594,-0.5832168619547183,0.64967348593954,-0.24176841705177232,0.8201923336901007,-0.07124956930121162,0.8951207373200176,0.003678834328705305,0.9197584063293494,0.028316503338037036,0.8743924779123935,-0.017049425078918823
49,train,0.8923077789137676,0.3089503955462804,-0.5833573833674872,0.6508923465521719,-0.24141543236159568,0.8235214552543939,-0.06878632365937365,0.8895490077813597,-0.0027587711324078557,0.9210959283026674,0.028788149388899842,0.8963153380596026,0.00400755914583506
50,train,0.8948827469870064,0.3091592804192786,-0.5857234665677278,0.6338250911202558,-0.26105765586675067,0.8030959549168198,-0.09178679207018658,0.857115295774648,-0.03776745121235847,0.8868925163721745,-0.00799023061483195,0.8896016227570456,-0.005281124229960854
5,valid,0.6957275117237991,0.0879076061018888,-0.6078199056219102,0.3840137010681677,-0.3117138106556314,0.6489783293160079,-0.046749182407791245,0.8486582941367264,0.15293078241292735,0.6789935346535118,-0.016733977070287342,0.8456681946739508,0.14994068295015173
6,valid,0.7285465805765821,0.1236413663199495,-0.6049052142566326,0.3993963152512031,-0.32915026532537894,0.7302840403014752,0.0017374597248931423,0.9079942569996176,0.1794476764230355,0.8269744037674047,0.09842782319082266,0.9111457932558426,0.1825992126792605
7,valid,0.7729529121828869,0.1407328352056136,-0.6322200769772732,0.5962165801760253,-0.17673633200686156,0.7313540501199308,-0.041598862062956043,0.9509276296317322,0.1779747174488453,0.8827802283990588,0.10982731621617192,0.9518266113089102,0.17887369912602336
8,valid,0.8554673653495967,0.1510631734409636,-0.704404191908633,0.6467895208266439,-0.2086778445229528,0.8114101570779289,-0.044057208271667814,0.964625207315768,0.10915784196617129,1.012365379614426,0.1568980142648294,0.9637954854619636,0.10832812011236692
9,valid,0.883555652752527,0.1511268594363589,-0.7324287933161682,0.6277709078210173,-0.2557847449315097,1.037185508941756,0.15362985618922909,1.0525171480220914,0.1689614952695644,1.0270199336078674,0.14346428085534035,1.0522659594445087,0.16871030669198173
10,valid,0.904967635648216,0.1496646185854717,-0.7553030170627444,0.5897525774336972,-0.3152150582145188,1.1688177741889711,0.2638501385407551,1.0561046714368831,0.1511370357886671,1.0343107860467833,0.12934315039856725,1.0550629037687074,0.15009526812049134
11,valid,0.94190901547481,0.1498795825992568,-0.7920294328755532,0.7291323011062996,-0.21277671436851042,1.1770754935026702,0.23516647802786017,1.1495044990711614,0.20759548359635138,1.0657857328282112,0.12387671735340122,1.149524406889408,0.20761539141459795
12,valid,1.026677724570164,0.151852425819746,-0.8748252987504179,0.7779187796753902,-0.24875894489477368,1.1763562010984596,0.1496784765282957,1.170635771543027,0.14395804697286296,1.0985489200648408,0.07187119549467691,1.1682136360932616,0.14153591152309764
13,valid,1.0528843966354566,0.1506753645172305,-0.9022090321182261,0.739136562349963,-0.3137478342854936,1.1756268514512616,0.12274245481580492,1.1799733724289665,0.12708897579350986,1.1498783343514931,0.09699393771603648,1.1811613462360129,0.12827694960055624
14,valid,1.085124900029269,0.1526119435478208,-0.9325129564814483,0.765449297148412,-0.31967560288085706,1.173931749950231,0.088806849920962,1.203124908004202,0.11800000797493282,1.1734284103692385,0.08830351033996942,1.2003263115188003,0.11520141148953122
15,valid,1.1262871499968492,0.1545960125503419,-0.9716911374465074,0.7545114219951662,-0.371775728001683,1.1796095336581287,0.053322383661279504,1.2133733850368749,0.08708623504002566,1.1783024546122878,0.05201530461543857,1.2113727020700054,0.08508555207315616
16,valid,1.1576533454034947,0.1546735740995752,-1.0029797713039195,0.753641296571945,-0.40401204883154973,1.181703842121412,0.02405049671791737,1.2192509936643423,0.06159764826084757,1.1816256277382369,0.023972282334742134,1.2188199612701442,0.06116661586664951
17,valid,1.163156235602098,0.1561700232464373,-1.0069862123556605,0.6844512179799211,-0.47870501762217677,1.1841087380315936,0.020952502429495645,1.2235050438574362,0.06034880825533828,1.1906231249077994,0.027466889305701514,1.2243012043663406,0.06114496876424269
18,valid,1.1681311694463177,0.1584399262737988,-1.009691243172519,0.7189210855714129,-0.4492100838749048,1.1932890562071956,0.025157886760877934,1.2252775328086154,0.057146363362297725,1.196739697721675,0.028608528275357425,1.2250058475198922,0.05687467807357449
19,valid,1.1685106206722913,0.1591973321931746,-1.0093132884791167,0.7346997677353513,-0.43381085293694,1.181897287108112,0.013386666435820649,1.2274174058356893,0.05890678516339798,1.2156654943132976,0.047154873641006345,1.2264548883002304,0.05794426762793914
20,valid,1.1715569325265198,0.1592486069616673,-1.0123083255648526,0.7378379953698929,-0.4337189371566269,1.1739165498383186,0.0023596173117987895,1.236702021243992,0.06514508871747227,1.2229000223053133,0.05134308977879343,1.236895160482345,0.06533822795582522
21,valid,1.1876730193641825,0.1605521010884986,-1.027120918275684,0.827865867991771,-0.3598071513724115,1.1632525010450006,-0.024420518319181905,1.2375321118955886,0.04985909253140619,1.2395317246822977,0.051858705318115206,1.2376529540335484,0.0499799346693659
22,valid,1.1944789299780796,0.1611734208636287,-1.033305509114451,0.6680125794965303,-0.5264663504815493,1.171169013099319,-0.023309916878760495,1.2381563202003834,0.04367739022230377,1.2405632815868002,0.0460843516087206,1.2381110128887636,0.04363208291068399
23,valid,1.1974669298933684,0.1616461520136697,-1.0358207778796988,0.6949331643568711,-0.5025337655364973,1.1620728353535743,-0.03539409453979414,1.237800651328144,0.04033372143477565,1.2401920509662077,0.04272512107283921,1.2381097342288874,0.04064280433551892
24,valid,1.2035053207135054,0.1621743922537657,-1.0413309284597396,0.6415495663542213,-0.561955754359284,1.1589675113255793,-0.044537809387926064,1.2379340148463576,0.03442869413285221,1.2390749429917265,0.035569622278221136,1.2404488510470926,0.036943530333587216
25,valid,1.2060391657012284,0.1624089650102638,-1.0436302006909646,0.6437596683395925,-0.5622794973616358,1.1664192270941494,-0.03961993860707902,1.2406147825254414,0.03457561682421306,1.2377207049466938,0.03168153924546546,1.2405835527033884,0.034544387002160004
26,valid,1.2077030520137455,0.1624688737274009,-1.0452341782863446,0.6483214036166227,-0.5593816483971228,1.16957862877359,-0.038124423240155414,1.2403750688868878,0.03267201687314225,1.2369367352335994,0.029233683219853868,1.2396059485257889,0.031902896512043366
27,valid,1.2095788621893582,0.1636207199194862,-1.045958142269872,0.6735329370986727,-0.5360459250906855,1.1514247693102266,-0.058154092879131536,1.2396268532980927,0.030047991108734573,1.2350817757767256,0.02550291358736745,1.2388640554939048,0.029285193304546597
28,valid,1.2104427226661938,0.1636659516930903,-1.0467767709731035,0.659705841468685,-0.5507368811975087,1.1481020369609487,-0.06234068570524509,1.2370539571119183,0.026611234445724552,1.2324111072759436,0.021968384609749814,1.2379780060188257,0.02753528335263189
