file,cv,i_l0,j_l2,py_rows,r_rows,rows_cmp,train_SR_max_abs_diff,valid_SR_max_abs_diff,test_SR_max_abs_diff,portsN_match_%,beta_max_abs_diff,status
results_cv_1_l0_6_l2_9.csv,cv_1,6,9,62,62,62,3.5500491435414006e-12,1.1254053244869056e-12,1.0146328222049306e-12,98.38709677419355,2.0365400338340223e-11,OK
results_cv_1_l0_6_l2_10.csv,cv_1,6,10,62,62,62,2.963407297329468e-12,1.0663969707280785e-12,1.0406120409811592e-12,100.0,1.6342815989389692e-11,OK
results_cv_1_l0_6_l2_11.csv,cv_1,6,11,62,62,62,3.2660540938422855e-12,1.2330136911486989e-12,8.65307825392847e-13,98.38709677419355,1.8351098418634137e-11,OK
results_cv_1_l0_6_l2_12.csv,cv_1,6,12,62,62,62,2.5073276788134535e-12,9.903189379656396e-13,1.0413891970983968e-12,100.0,1.7689572029411238e-11,OK
results_cv_1_l0_6_l2_13.csv,cv_1,6,13,62,62,62,2.9898306053155466e-12,1.2326806242413113e-12,9.328093852900565e-13,98.38709677419355,1.6765255850259564e-11,OK
results_cv_1_l0_7_l2_1.csv,cv_1,7,1,48,48,48,2.258748743599881e-12,7.025491299827991e-13,1.0769163338864018e-12,100.0,1.2855799758071385e-11,OK
results_cv_1_l0_7_l2_2.csv,cv_1,7,2,50,50,50,2.4920066010736264e-12,4.047318036271008e-13,1.244893077512188e-12,98.0,1.404069915889039e-11,OK
results_cv_1_l0_7_l2_3.csv,cv_1,7,3,52,52,52,4.250100271718793e-12,1.2719825193130418e-12,3.1151747847957267e-12,100.0,2.4372337481537443e-11,OK
results_cv_1_l0_7_l2_4.csv,cv_1,7,4,56,56,56,6.2168048486910266e-12,9.286182933720966e-13,2.5153212845907547e-12,96.42857142857143,2.9413110835818657e-11,OK
results_cv_1_l0_7_l2_5.csv,cv_1,7,5,56,56,56,1.1209921879640206e-11,4.569900013962069e-12,1.6783241463258491e-12,100.0,5.1709914128394985e-11,OK
results_cv_1_l0_7_l2_6.csv,cv_1,7,6,62,62,62,7.226219622680219e-12,3.450600916110602e-12,1.2361223156176493e-12,96.7741935483871,3.8804306989881354e-11,OK
results_cv_1_l0_7_l2_7.csv,cv_1,7,7,64,64,64,2.1451729281807275e-11,1.7978951660779785e-12,1.1097234242640752e-11,93.75,1.4623718902484484e-10,OK
results_cv_1_l0_7_l2_8.csv,cv_1,7,8,66,66,66,3.5750291615954666e-12,1.7562062915033039e-12,1.166067242763802e-12,98.48484848484848,2.3865909248854678e-11,OK
results_cv_1_l0_7_l2_9.csv,cv_1,7,9,67,68,67,0.0006473213397644173,0.00024793641773318553,0.00010188845711578409,95.52238805970148,0.003485722981892,OK
results_cv_1_l0_7_l2_10.csv,cv_1,7,10,69,70,69,0.0033994698101649234,0.0014712096472491998,0.0005897295099703825,97.10144927536231,0.017888740323894,OK
results_cv_1_l0_7_l2_11.csv,cv_1,7,11,70,70,70,5.572653449803511e-12,2.05149786047798e-12,1.0468292899190601e-12,98.57142857142858,3.079320132215457e-11,OK
results_cv_1_l0_7_l2_12.csv,cv_1,7,12,70,70,70,4.68070027181966e-12,1.6621981568931687e-12,1.3639089857520048e-12,98.57142857142858,2.6322399121481155e-11,OK
results_cv_1_l0_7_l2_13.csv,cv_1,7,13,70,70,70,5.2522430848966906e-12,1.7993107004343756e-12,1.2090328738167955e-12,98.57142857142858,3.0068898759783025e-11,OK
